datetime,weather_station,observation_place,temperature,pressure,wind_speed,weather_phrase,dew_point,relative_humidity,heat_index
2023-05-26 00:00:00,WBGB,Bintulu Arpt,25,1010.24,6,Fair,23,89,26
2023-05-26 01:00:00,WBGB,Bintulu Arpt,25,1009.24,6,Fair,23,89,26
2023-05-26 02:00:00,WBGB,Bintulu Arpt,25,1009.24,4,Thunder,24,94,25
2023-05-26 03:00:00,WBGB,Bintulu Arpt,25,1008.24,7,Fair,23,89,26
2023-05-26 04:00:00,WBGB,Bintulu Arpt,25,1008.24,6,Thunder,24,94,25
2023-05-26 05:00:00,WBGB,Bintulu Arpt,25,1008.24,6,Thunder,24,94,25
2023-05-26 06:00:00,WBGB,Bintulu Arpt,24,1008.24,6,Fair,24,100,24
2023-05-26 07:00:00,WBGB,Bintulu Arpt,25,1008.24,6,Fair,24,94,25
2023-05-26 08:00:00,WBGB,Bintulu Arpt,26,1009.24,6,Fair,24,89,28
2023-05-26 09:00:00,WBGB,Bintulu Arpt,28,1009.24,7,Fair,25,84,32
2023-05-26 10:00:00,WBGB,Bintulu Arpt,30,1009.24,6,Fair,26,79,37
2023-05-26 11:00:00,WBGB,Bintulu Arpt,32,1009.24,7,Fair,25,66,39
2023-05-26 12:00:00,WBGB,Bintulu Arpt,33,1008.24,6,Fair,25,63,40
2023-05-26 13:00:00,WBGB,Bintulu Arpt,33,1007.25,7,Partly Cloudy,23,55,38
2023-05-26 15:00:00,WBGB,Bintulu Arpt,34,1005.25,9,Partly Cloudy,26,63,43
2023-05-26 16:00:00,WBGB,Bintulu Arpt,34,1005.25,7,Thunder,26,63,43
2023-05-26 17:00:00,WBGB,Bintulu Arpt,33,1005.25,7,Thunder,26,66,42
2023-05-26 18:00:00,WBGB,Bintulu Arpt,32,1005.25,7,Fair,26,70,40
2023-05-26 19:00:00,WBGB,Bintulu Arpt,30,1006.25,6,Fair,26,79,37
2023-05-26 20:00:00,WBGB,Bintulu Arpt,28,1006.25,15,Fair,24,79,32
2023-05-26 21:00:00,WBGB,Bintulu Arpt,25,1006.25,0,Fair,24,94,25
2023-05-26 22:00:00,WBGB,Bintulu Arpt,25,1006.25,0,Fair,24,94,25
2023-05-26 23:00:00,WBGB,Bintulu Arpt,25,1006.25,0,Fair,24,94,25
2023-05-26 00:00:00,WBGG,Kuching,25,1009.76,6,Fair,24,94,25
2023-05-26 00:30:00,WBGG,Kuching,25,1009.76,4,Fair,24,94,25
2023-05-26 01:00:00,WBGG,Kuching,25,1008.76,4,Partly Cloudy,24,94,25
2023-05-26 01:30:00,WBGG,Kuching,25,1008.76,4,Partly Cloudy,24,94,25
2023-05-26 02:00:00,WBGG,Kuching,25,1008.76,4,Fair,24,94,25
2023-05-26 02:30:00,WBGG,Kuching,25,1007.77,4,Fair,24,94,25
2023-05-26 03:00:00,WBGG,Kuching,25,1007.77,4,Fair,24,94,25
2023-05-26 03:30:00,WBGG,Kuching,25,1007.77,2,Fair,24,94,25
2023-05-26 04:00:00,WBGG,Kuching,25,1007.77,4,Fair,24,94,25
2023-05-26 04:30:00,WBGG,Kuching,25,1007.77,6,Fair,24,94,25
2023-05-26 05:00:00,WBGG,Kuching,25,1007.77,6,Fair,24,94,25
2023-05-26 05:30:00,WBGG,Kuching,25,1007.77,0,Fair,24,94,25
2023-05-26 06:00:00,WBGG,Kuching,24,1007.77,4,Fair,24,100,24
2023-05-26 06:30:00,WBGG,Kuching,24,1007.77,4,Fair,24,100,24
2023-05-26 07:00:00,WBGG,Kuching,24,1007.77,6,Fair,24,100,24
2023-05-26 07:30:00,WBGG,Kuching,25,1008.76,4,Fair,24,94,25
2023-05-26 08:00:00,WBGG,Kuching,25,1008.76,4,Fair,25,100,25
2023-05-26 08:30:00,WBGG,Kuching,26,1009.76,0,Fair,25,94,28
2023-05-26 09:00:00,WBGG,Kuching,28,1009.76,6,Fair,26,89,33
2023-05-26 09:30:00,WBGG,Kuching,29,1009.76,7,Fair,26,84,36
2023-05-26 10:00:00,WBGG,Kuching,30,1009.76,11,Fair,26,79,37
2023-05-26 10:30:00,WBGG,Kuching,31,1008.76,13,Fair,26,75,39
2023-05-26 11:00:00,WBGG,Kuching,31,1008.76,9,Fair,26,75,39
2023-05-26 11:30:00,WBGG,Kuching,32,1008.76,9,Partly Cloudy,26,70,40
2023-05-26 12:00:00,WBGG,Kuching,32,1007.77,6,Partly Cloudy,26,70,40
2023-05-26 12:30:00,WBGG,Kuching,32,1007.77,9,Partly Cloudy,25,66,39
2023-05-26 13:00:00,WBGG,Kuching,33,1006.77,9,Partly Cloudy,25,63,40
2023-05-26 13:30:00,WBGG,Kuching,33,1006.77,6,Partly Cloudy,25,63,40
2023-05-26 14:00:00,WBGG,Kuching,33,1005.77,7,Partly Cloudy,25,63,40
2023-05-26 14:30:00,WBGG,Kuching,34,1005.77,6,Partly Cloudy,24,56,40
2023-05-26 15:00:00,WBGG,Kuching,34,1004.78,6,Partly Cloudy,25,59,42
2023-05-26 15:30:00,WBGG,Kuching,34,1004.78,6,Partly Cloudy,24,56,40
2023-05-26 16:00:00,WBGG,Kuching,34,1004.78,6,Partly Cloudy,25,59,42
2023-05-26 16:30:00,WBGG,Kuching,32,1004.78,15,Partly Cloudy,24,62,38
