Identifying_Location,City,Latitude,Longitude,ICAO
Kangar,Kangar,6.429922,100.211069,
Langkawi,Langkawi,6.331539,99.85846,
Alor Setar,Alor Setar,6.137244,100.346815,
Sungai Petani,Sungai Petani,5.629631,100.467771,
Kulim Hi-Tech,Kulim,5.401688,100.58968,
Seberang Jaya,Seberang Jaya,5.39817,100.403947,
Seberang Perai,Seberang Perai,5.329358,100.443475,
Minden,Minden,5.356211,100.30792,
Balik Pulau,Balik Pulau,5.337598,100.214721,
Taiping,Taiping,4.89885,100.679106,
Tasek Ipoh,Ipoh,4.629444,101.11665,
Pegoh Ipoh,Ipoh,4.553336,101.080236,
Seri Manjung,Seri Manjung,4.200344,100.663358,
Tanjung Malim,Tanjung Malim,3.687758,101.524494,
Batu Muda,Batu Muda,3.212439,101.682228,
Cheras,Cheras,3.106236,101.717917,
Putrajaya,Putrajaya,2.914816,101.69005,
Presint 18,Putrajaya,2.9196,101.696,
Kuala Selangor,Kuala Selangor,3.321308,101.256242,
Petaling Jaya,Petaling Jaya,3.133169,101.608011,
Shah Alam,Shah Alam,3.104717,101.556222,
Klang,Klang,3.014889,101.413111,
Banting,Banting,2.816689,101.623158,
Nilai,Nilai,2.821692,101.811486,
Seremban,Seremban,2.723381,101.968497,
Port Dickson,Port Dickson,2.441383,101.866858,
Alor Gajah,Alor Gajah,2.370925,102.224592,
Bukit Rambai,Bukit Rambai,2.258519,102.172683,
Bandaraya Melaka,Bandaraya Melaka,2.190936,102.257058,
Segamat,Segamat,2.493914,102.862694,
Batu Pahat,Batu Pahat,1.919323,102.866618,
Kluang,Kluang,2.037882,103.312063,
Larkin,Larkin,1.494625,103.735975,
Pasir Gudang,Pasir Gudang,1.470122,103.893456,
Pengerang,Pengerang,1.389489,104.149586,
Kota Tinggi,Kota Tinggi,1.564056,104.225306,
Tangkak,Tangkak,2.294794,102.571595,
Muar,Muar,2.0631,102.5849,
Rompin,Rompin,2.926645,103.419198,
Temerloh,Temerloh,3.471603,102.376406,
Jerantut,Jerantut,3.94836,102.366632,
Indera Mahkota Kuantan,Indera Mahkota Kuantan,3.819217,103.29655,
Balok Baru Kuantan,Balok Baru Kuantan,3.960644,103.382158,
Kemaman,Kemaman,4.262121,103.425778,
Paka,Paka,4.598064,103.434819,
Kuala Terengganu,Kuala Terengganu,5.308094,103.120392,
Besut,Besut,5.748449,102.515632,
Tanah Merah,Tanah Merah,5.811172,102.1345,
Kota Bharu,Kota Bharu,6.147431,102.249236,
Tawau,Tawau,4.249786,117.935864,
Sandakan,Sandakan,5.864467,118.091089,
Kota Kinabalu,Kota Kinabalu,5.89372,116.04327,
Kimanis,Kimanis,5.538225,115.850556,
Keningau,Keningau,5.339317,116.163658,
Labuan,Labuan,5.298107,115.232106,
Limbang,Limbang,4.758891,115.013667,
ILP Miri,Miri,4.494791,114.043416,
Miri,Miri,4.424679,114.012426,
Samalaju,Samalaju,3.537059,113.295168,
Bintulu,Bintulu,3.177084,113.041091,
Mukah,Mukah,2.883238,112.019742,
Kapit,Kapit,2.014498,112.92736,
Sibu,Sibu,2.314408,111.831916,
Sarikei,Sarikei,2.132809,111.52287,
Sri Aman,Sri Aman,1.219656,111.464792,
Samarahan,Samarahan,1.454853,110.491505,
Kuching,Kuching,1.562229,110.388958,
Permyjaya Miri,Miri,4.4544,114.0376,
SK Kampung Johan Setia (MCAQM),Klang,2.97975,101.48179,
Johan Setia,Klang,2.97975,101.48179,
JOHAN SETIA KLANG (MCAQM),Klang,2.97975,101.48179,
Johan Setia Klang (MCAQM),Klang,2.97975,101.48179,
Johan Setia (MCAQM),Klang,2.97975,101.48179,
Kota Kinabalu (MCAQM),Kota Kinabalu,5.9804,116.0735,
Sek. Agama Taman Mawar Pasir Gudang (MCAQM),Pasir Gudang,1.471945,103.89532,
Madrasah An Nur Pekan Rembia Alor Gajah (MCAQM),Alor Gajah,2.3313578,102.2079583,
SK Taman Pasir Putih Pasir Gudang (MCAQM),Pasir Gudang,1.47516997,103.9372998,
