City,State,ICAO,IATA,Weather_station_name,Latitude,Longitude,ICAO_alias
Bintulu,SARAWAK,WBGB,BTU,Bintulu Airport,3.124166667,113.0197222,
Kuching,SARAWAK,WBGG,KCH,Kuching International Airport,1.484722222,110.3377778,
Sematan,SARAWAK,WBGN,BSE,Sematan Airport,1.813611111,109.7627778,96535
Miri,SARAWAK,WBGR,MYY,Miri Airport,4.325277778,113.9883333,
Sibu,SARAWAK,WBGS,SBW,Sibu Airport,2.264166667,111.9825,
Sri Aman,SARAWAK,WBGY,SGG,Simanggang Airport,1.217000008,111.4499969,
Kota Kinabalu,SABAH,WBKK,BKI,Kota Kinabalu International Airport,5.944722222,116.0586111,
Labuan,W.P. LABUAN,WBKL,LBU,Labuan Airport,5.301666667,115.2483333,
Sandakan,SABAH,WBKS,SDK,Sandakan Airport,5.901666667,118.0486111,
Kudat,SABAH,WBKT,KUD,Kudat Airport,6.924166667,116.8308333,
Tawau,SABAH,WBKW,TWU,Tawau Airport,4.313333333,118.1219444,
Mersing,JOHOR,WMAU,MEP,Mersing Airport,2.383333333,103.8594444,
Sitiawan,PERAK,WMBA,SWY,Sitiawan Airport,4.216388889,100.6986111,
Alor Setar,KEDAH,WMKA,AOR,Sultan Abdul Halim Airport,6.194444444,100.4008333,
Butterworth,PULAU PINANG,WMKB,BWH,RMAF Butterworth,5.466111111,100.3911111,
Kota Bharu,KELANTAN,WMKC,KBR,Sultan Ismail Petra Airport,6.166111111,102.2925,
Kuantan,PAHANG,WMKD,KUA,Sultan Haji Ahmad Shah Airport,3.769722222,103.2094444,
Kerteh,TERENGGANU,WMKE,KTE,Kerteh Airport,4.5375,103.4266667,
Ipoh,PERAK,WMKI,IPH,Sultan Azlan Shah Airport,4.569166667,101.0930556,
Senai,JOHOR,WMKJ,JHB,Senai International Airport,1.640555556,103.6702778,
Sepang,W.P. KUALA LUMPUR,WMKK,KUL,Kuala Lumpur International Airport,2.743333333,101.6980556,
Langkawi,KEDAH,WMKL,LGK,Langkawi International Airport,6.333333333,99.73333333,
Batu Berendam,MELAKA,WMKM,MKZ,Malacca International Airport,2.263055556,102.2525,
Kuala Terengganu,TERENGGANU,WMKN,TGG,Sultan Mahmud Airport,5.048055556,103.1047222,
Bayan Lepas,PENANG,WMKP,PEN,Penang International Airport,5.297222222,100.2766667,
Subang Jaya,SELANGOR,WMSA,SZB,Sultan Abdul Aziz Shah Airport,3.131111111,101.5480556,
