City,State,ICAO,IATA,Weather_station_name,Latitude,Longitude,ICAO_alias
Long Banga,Sarawak,,LBP,Long Banga Airport,3.183333333,115.45,
Bintulu,Sarawak,WBGB,BTU,Bintulu Airport,3.124166667,113.0197222,
Kuching,Sarawak,WBGG,KCH,Kuching International Airport,1.484722222,110.3377778,
Sematan,Sarawak,WBGN,BSE,Sematan Airport,1.813611111,109.7627778,96535
Miri,Sarawak,WBGR,MYY,Miri Airport,4.325277778,113.9883333,
Sibu,Sarawak,WBGS,SBW,Sibu Airport,2.264166667,111.9825,
Sri Aman,Sarawak,WBGY,SGG,Simanggang Airport,,,
Kota Kinabalu,Sabah,WBKK,BKI,Kota Kinabalu International Airport,5.944722222,116.0586111,
Labuan,Federal Territory of Labuan,WBKL,LBU,Labuan Airport,5.301666667,115.2483333,
Sandakan,Sabah,WBKS,SDK,Sandakan Airport,5.901666667,118.0486111,
Kudat,Sabah,WBKT,KUD,Kudat Airport,6.924166667,116.8308333,
Tawau,Sabah,WBKW,TWU,Tawau Airport,4.313333333,118.1219444,
Mersing,Johor,WMAU,MEP,Mersing Airport,2.383333333,103.8594444,
Sitiawan,Perak,WMBA,SWY,Sitiawan Airport,4.216388889,100.6986111,
Alor Setar,Kedah,WMKA,AOR,Sultan Abdul Halim Airport,6.194444444,100.4008333,
Butterworth,Penang,WMKB,BWH,RMAF Butterworth,5.466111111,100.3911111,
Kota Bharu,Kelantan,WMKC,KBR,Sultan Ismail Petra Airport,6.166111111,102.2925,
Kuantan,Pahang,WMKD,KUA,Sultan Haji Ahmad Shah Airport,3.769722222,103.2094444,
Kerteh,Terengganu,WMKE,KTE,Kerteh Airport,4.5375,103.4266667,
Ipoh,Perak,WMKI,IPH,Sultan Azlan Shah Airport,4.569166667,101.0930556,
Senai,Johor,WMKJ,JHB,Senai International Airport,1.640555556,103.6702778,
Sepang,Kuala Lumpur,WMKK,KUL,Kuala Lumpur International Airport,2.743333333,101.6980556,
Langkawi,Kedah,WMKL,LGK,Langkawi International Airport,6.333333333,99.73333333,
Batu Berendam,Malacca,WMKM,MKZ,Malacca International Airport,2.263055556,102.2525,
Kuala Terengganu,Terengganu,WMKN,TGG,Sultan Mahmud Airport,5.048055556,103.1047222,
Bayan Lepas,Penang,WMKP,PEN,Penang International Airport,5.297222222,100.2766667,
Subang Jaya,Selangor,WMSA,SZB,Sultan Abdul Aziz Shah Airport,3.131111111,101.5480556,
Layang Layang Atoll,Sabah,,LAC,Layang-Layang Airport,,,
