State,Location
PERLIS,Kangar
KEDAH,Langkawi
KEDAH,Alor Setar
KEDAH,Sungai Petani
KEDAH,Kulim Hi-Tech
PULAU PINANG,Seberang Jaya
PULAU PINANG,Seberang Perai
PULAU PINANG,Minden
PULAU PINANG,Balik Pulau
PERAK,Taiping
PERAK,Tasek Ipoh
PERAK,Pegoh Ipoh
PERAK,Seri Manjung
PERAK,Tanjung Malim
W.P. KUALA LUMPUR,Batu Muda
W.P. KUALA LUMPUR,Cheras
W.P. PUTRAJAYA,Putrajaya
SELANGOR,Kuala Selangor
SELANGOR,Petaling Jaya
SELANGOR,Shah Alam
SELANGOR,Klang
SELANGOR,Banting
NEGERI SEMBILAN,Nilai
NEGERI SEMBILAN,Seremban
NEGERI SEMBILAN,Port Dickson
MELAKA,Alor Gajah
MELAKA,Bukit Rambai
MELAKA,Bandaraya Melaka
JOHOR,Segamat
JOHOR,Batu Pahat
JOHOR,Kluang
JOHOR,Larkin
JOHOR,Pasir Gudang
JOHOR,Pengerang
JOHOR,Kota Tinggi
JOHOR,Tangkak
PAHANG,Rompin
PAHANG,Temerloh
PAHANG,Jerantut
PAHANG,Indera Mahkota Kuantan
PAHANG,Balok Baru Kuantan
TERENGGANU,Kemaman
TERENGGANU,Paka
TERENGGANU,Kuala Terengganu
TERENGGANU,Besut
KELANTAN,Tanah Merah
KELANTAN,Kota Bharu
SABAH,Tawau
SABAH,Sandakan
SABAH,Kota Kinabalu
SABAH,Kimanis
SABAH,Keningau
W.P. LABUAN,Labuan
SARAWAK,Limbang
SARAWAK,ILP Miri
SARAWAK,Miri
SARAWAK,Samalaju
SARAWAK,Bintulu
SARAWAK,Mukah
SARAWAK,Kapit
SARAWAK,Sibu
SARAWAK,Sarikei
SARAWAK,Sri Aman
SARAWAK,Samarahan
SARAWAK,Kuching
